SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,URL,cluster
Saiyaan Ji,Yo Yo Honey Singh,62,0.896,0.678,0,-2.546,0,0.0815,0.0137,4.1e-05,0.11,0.604,130.024,205450,https://i.scdn.co/image/ab67616d0000b2737a4ca76abadaf4b0733c6955,2
Falling,Trevor Daniel,84,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,https://i.scdn.co/image/ab67616d0000b273f3508855e1fd44d447a3413b,2
Shayad,Pritam,72,0.483,0.468,8,-7.642,1,0.0341,0.785,0.0,0.152,0.319,135.864,247941,https://i.scdn.co/image/ab67616d0000b273095191f6b96fd9eff585befc,0
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,68,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,287374,https://i.scdn.co/image/ab67616d0000b27399655481a2151203ed89351d,0
Genda Phool (feat. Payal Dev),Badshah,67,0.955,0.538,1,-8.394,1,0.0734,0.132,0.00146,0.0704,0.837,116.977,170769,https://i.scdn.co/image/ab67616d0000b2731236f9aabbd45bf852bdbd9c,2
"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,69,0.468,0.854,11,-3.932,0,0.059,0.176,0.0,0.126,0.277,155.867,299822,https://i.scdn.co/image/ab67616d0000b27340494b35d483ac255db4ce93,2
Baila Conmigo (with Rauw Alejandro),Selena Gomez,82,0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088,https://i.scdn.co/image/ab67616d0000b2738b11b0be988e17da2799b94d,2
You (with Marshmello & Vance Joy),benny blanco,73,0.668,0.563,11,-6.433,1,0.0522,0.0493,0.0,0.119,0.305,103.116,169632,https://i.scdn.co/image/ab67616d0000b27338e349efcd6a1c63e403b97f,2
Higher (feat. iann dior),Clean Bandit,71,0.716,0.736,1,-5.18,0,0.0363,0.336,1.4e-05,0.137,0.542,104.018,203953,https://i.scdn.co/image/ab67616d0000b2734628636f03999328ba098839,2
Element,Pop Smoke,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747,https://i.scdn.co/image/ab67616d0000b2738e6709b8efdc31d41227e0e4,1
HUMBLE.,Kendrick Lamar,84,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,2
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,78,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021,243491,https://i.scdn.co/image/ab67616d0000b2737d8dfcfd507069d7f2062caf,1
Dip (feat. Nicki Minaj) (feat. Nicki Minaj),Tyga,65,0.885,0.543,2,-6.338,1,0.2,0.0311,0.0,0.154,0.43,99.026,195992,https://i.scdn.co/image/ab67616d0000b2732b52a027f022c637db02b317,2
goosebumps,Travis Scott,87,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,2
Walk It Talk It,Migos,78,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,276147,https://i.scdn.co/image/ab67616d0000b2739c188c494d8bfaf895411890,2
King Kunta,Kendrick Lamar,76,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,234693,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,2
Swang,Rae Sremmurd,0,0.681,0.314,8,-9.319,1,0.0583,0.2,9.82e-06,0.1,0.166,139.991,208120,https://i.scdn.co/image/ab67616d0000b273881fb62d913fe712fc2e1c95,0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,74,0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924,288600,https://i.scdn.co/image/ab67616d0000b273f2b55cfff049e03f92834b50,2
Another Love,Tom Odell,88,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,0
People Help the People,Birdy,67,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46e-05,0.092,0.153,73.254,256236,https://i.scdn.co/image/ab67616d0000b2733661c01b54e181d01bd439a1,0
unravel (acoustic version) - Acoustic Version,TK from Ling tosite sigure,56,0.289,0.321,10,-8.569,0,0.0353,0.935,0.0,0.108,0.214,111.841,145714,https://i.scdn.co/image/ab67616d0000b2731084a0d39620b9564ee640a1,0
"Isabella's Lullaby (from ""The Promised Neverland"")",AmaLee,66,0.181,0.913,5,-3.318,1,0.152,0.0501,0.0,0.282,0.392,82.176,174893,https://i.scdn.co/image/ab67616d0000b27309e847f05ff2e5873fc9f5fb,1
asphyxia,Cö Shu Nie,66,0.528,0.593,1,-3.68,1,0.0545,0.289,0.00054,0.0724,0.351,167.238,273583,https://i.scdn.co/image/ab67616d0000b273b868bc52627b90ed648b2092,2
Kokoronashi,majiko,66,0.528,0.593,1,-3.68,1,0.0545,0.289,0.00054,0.0724,0.351,167.238,273583,https://i.scdn.co/image/ab67616d0000b273f672cfe50a513713ea7cdc85,2
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,75,0.483,0.192,4,-15.378,0,0.0469,0.991,0.908,0.106,0.0542,100.848,140733,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d,3
Somebody That I Used To Know,Gotye,63,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,292333,https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e,0
River Flows In You,Yiruma,87,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,https://i.scdn.co/image/ab67616d0000b2734bdb66d1335f8571240e755f,0
"Comptine d'un autre été, l'après-midi",Yann Tiersen,62,0.572,0.75,1,-5.042,0,0.0604,0.0946,0.0,0.378,0.475,144.081,182627,https://i.scdn.co/image/ab67616d0000b2731b7844a8c73c4d48f0bca1de,2
You Raise Me Up,Josh Groban,69,0.773,0.699,1,-5.982,0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941,180120,https://i.scdn.co/image/ab67616d0000b2731d78472931a3c47d66444ee4,2
Hope,XXXTENTACION,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,0
