,0,1
0,Saiyaan Ji,https://i.scdn.co/image/ab67616d0000b2737a4ca76abadaf4b0733c6955
1,Falling,https://i.scdn.co/image/ab67616d0000b273f3508855e1fd44d447a3413b
2,Shayad,https://i.scdn.co/image/ab67616d0000b273095191f6b96fd9eff585befc
3,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",https://i.scdn.co/image/ab67616d0000b27399655481a2151203ed89351d
4,Genda Phool (feat. Payal Dev),https://i.scdn.co/image/ab67616d0000b2731236f9aabbd45bf852bdbd9c
5,"Humraah (From ""Malang - Unleash The Madness"")",https://i.scdn.co/image/ab67616d0000b27340494b35d483ac255db4ce93
6,Baila Conmigo (with Rauw Alejandro),https://i.scdn.co/image/ab67616d0000b2738b11b0be988e17da2799b94d
7,You (with Marshmello & Vance Joy),https://i.scdn.co/image/ab67616d0000b27338e349efcd6a1c63e403b97f
8,Higher (feat. iann dior),https://i.scdn.co/image/ab67616d0000b2734628636f03999328ba098839
9,Element,https://i.scdn.co/image/ab67616d0000b2738e6709b8efdc31d41227e0e4
10,HUMBLE.,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699
11,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",https://i.scdn.co/image/ab67616d0000b2737d8dfcfd507069d7f2062caf
12,Dip (feat. Nicki Minaj) (feat. Nicki Minaj),https://i.scdn.co/image/ab67616d0000b2732b52a027f022c637db02b317
13,goosebumps,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce
14,Walk It Talk It,https://i.scdn.co/image/ab67616d0000b2739c188c494d8bfaf895411890
15,King Kunta,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1
16,Swang,https://i.scdn.co/image/ab67616d0000b273881fb62d913fe712fc2e1c95
17,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",https://i.scdn.co/image/ab67616d0000b273f2b55cfff049e03f92834b50
18,Another Love,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
19,People Help the People,https://i.scdn.co/image/ab67616d0000b2733661c01b54e181d01bd439a1
20,unravel (acoustic version) - Acoustic Version,https://i.scdn.co/image/ab67616d0000b2731084a0d39620b9564ee640a1
21,"Isabella's Lullaby (from ""The Promised Neverland"")",https://i.scdn.co/image/ab67616d0000b27309e847f05ff2e5873fc9f5fb
22,asphyxia,https://i.scdn.co/image/ab67616d0000b273b868bc52627b90ed648b2092
23,Kokoronashi,https://i.scdn.co/image/ab67616d0000b273f672cfe50a513713ea7cdc85
24,Can't Hold Us - feat. Ray Dalton,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d
25,Somebody That I Used To Know,https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e
26,River Flows In You,https://i.scdn.co/image/ab67616d0000b2734bdb66d1335f8571240e755f
27,"Comptine d'un autre été, l'après-midi",https://i.scdn.co/image/ab67616d0000b2731b7844a8c73c4d48f0bca1de
28,You Raise Me Up,https://i.scdn.co/image/ab67616d0000b2731d78472931a3c47d66444ee4
29,Hope,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
30,Close To Me,https://i.scdn.co/image/ab67616d0000b2735f76dbd311a0782823550b30
31,Hope,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
32,Baarishein,https://i.scdn.co/image/ab67616d0000b273d8ca783fa570b57e082f4374
33,Why Did I Answer?,https://i.scdn.co/image/ab67616d0000b273bd789be8a2db43dd477b2db6
34,Baari,https://i.scdn.co/image/ab67616d0000b273aca529b2fdfaabf2f50fc9e3
35,Big Gangsta,https://i.scdn.co/image/ab67616d0000b273f8a9c2fe71ac2eb53524392b
36,Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),https://i.scdn.co/image/ab67616d0000b273486d0191ad02532ffd12d87c
37,Beware,https://i.scdn.co/image/ab67616d0000b27373077b16706dbd3dca4b6948
38,The Thrill,https://i.scdn.co/image/ab67616d0000b2738f0412555b7e080fac2b825f
39,Dior,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0
40,good 4 u,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
41,Kiss Me More (feat. SZA),https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a
42,Butter,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596
43,MONTERO (Call Me By Your Name),https://i.scdn.co/image/ab67616d0000b273664034dd80e91b28f773598d
44,Arcade,https://i.scdn.co/image/ab67616d0000b273a954408e456d4d9d410f448b
45,WITHOUT YOU,https://i.scdn.co/image/ab67616d0000b273a26cc58b4d64c2ece3376389
46,Leave The Door Open,https://i.scdn.co/image/ab67616d0000b273fcf75ead8a32ac0020d2ce86
47,Levitating (feat. DaBaby),https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4
48,Peaches (feat. Daniel Caesar & Giveon),https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
49,Save Your Tears (with Ariana Grande) (Remix),https://i.scdn.co/image/ab67616d0000b273c6af5ffa661a365b77df6ef6
50,deja vu,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
51,Beautiful Mistakes (feat. Megan Thee Stallion),https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631
52,Sygrayem (Let's Play),https://i.scdn.co/image/ab67616d0000b2735c31c2a42a670aef0c883c43
53,Our Song,https://i.scdn.co/image/ab67616d0000b2736c46dd6e21c778948898c2c5
54,Leave Before You Love Me (with Jonas Brothers),https://i.scdn.co/image/ab67616d0000b273ae40468931087f78919b86ce
55,Build a Bitch,https://i.scdn.co/image/ab67616d0000b273aeeb722667c831a4f5429ff0
56,Heartbreak Anthem (with David Guetta & Little Mix),https://i.scdn.co/image/ab67616d0000b2731fcd19d56ad06561b76c1665
